date,time,id,room,floor,adress,zip_code,pulse,steps,mood,last_active,active
01.10.2022,00:00:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,120,no
01.10.2022,00:01:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,121,no
01.10.2022,00:02:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,122,no
01.10.2022,00:03:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,123,no
01.10.2022,00:04:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,124,no
01.10.2022,00:05:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,125,no
01.10.2022,00:06:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,126,no
01.10.2022,00:07:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,127,no
01.10.2022,00:08:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,128,no
01.10.2022,00:09:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,129,no
01.10.2022,00:10:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,130,no
01.10.2022,00:11:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,131,no
01.10.2022,00:12:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,132,no
01.10.2022,00:13:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,133,no
01.10.2022,00:14:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,134,no
01.10.2022,00:15:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,135,no
01.10.2022,00:16:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,136,no
01.10.2022,00:17:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,137,no
01.10.2022,00:18:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,138,no
01.10.2022,00:19:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,139,no
01.10.2022,00:20:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,140,no
01.10.2022,00:21:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,141,no
01.10.2022,00:22:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,142,no
01.10.2022,00:23:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,143,no
01.10.2022,00:24:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,144,no
01.10.2022,00:25:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,145,no
01.10.2022,00:26:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,146,no
01.10.2022,00:27:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,147,no
01.10.2022,00:28:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,148,no
01.10.2022,00:29:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,149,no
01.10.2022,00:30:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,150,no
01.10.2022,00:31:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,151,no
01.10.2022,00:32:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,152,no
01.10.2022,00:33:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,153,no
01.10.2022,00:34:00,23242526,330,3,Luckenwalder Str. 4,10963,,0,NaN,154,no
